,Index,Country,Gender,Demographics Question,Demographics Response,Question,Value,Status
36,36,Afghanistan,F,Age,15-24,... if she goes out without telling him,67.7,Very Low
37,37,Afghanistan,F,Age,25-34,... if she goes out without telling him,68.5,Very Low
38,38,Afghanistan,F,Age,35-49,... if she goes out without telling him,64.7,Very Low
39,39,Afghanistan,F,Age,15-24,... if she neglects the children,46.5,Very Low
40,40,Afghanistan,F,Age,25-34,... if she neglects the children,50.2,Very Low
41,41,Afghanistan,F,Age,35-49,... if she neglects the children,48.1,Very Low
42,42,Afghanistan,F,Age,15-24,... if she refuses to have sex with him,32.1,Low
43,43,Afghanistan,F,Age,25-34,... if she refuses to have sex with him,34.3,Low
44,44,Afghanistan,F,Age,35-49,... if she refuses to have sex with him,33.5,Low
45,45,Afghanistan,F,Education,Higher,... for at least one specific reason,61.1,Very Low
46,46,Afghanistan,F,Education,No education,... for at least one specific reason,81.0,Very Low
47,47,Afghanistan,F,Education,Primary,... for at least one specific reason,79.8,Very Low
48,48,Afghanistan,F,Education,Secondary,... for at least one specific reason,76.0,Very Low
49,49,Afghanistan,F,Education,Higher,... if she argues with him,37.7,Low
50,50,Afghanistan,F,Education,No education,... if she argues with him,60.2,Very Low
51,51,Afghanistan,F,Education,Primary,... if she argues with him,56.9,Very Low
52,52,Afghanistan,F,Education,Secondary,... if she argues with him,55.4,Very Low
53,53,Afghanistan,F,Education,Higher,... if she goes out without telling him,41.1,Low
54,54,Afghanistan,F,Education,No education,... if she goes out without telling him,68.4,Very Low
55,55,Afghanistan,F,Education,Primary,... if she goes out without telling him,64.1,Very Low
56,56,Afghanistan,F,Education,Secondary,... if she goes out without telling him,58.2,Very Low
57,57,Afghanistan,F,Education,Higher,... if she neglects the children,33.4,Low
58,58,Afghanistan,F,Education,No education,... if she neglects the children,48.9,Very Low
59,59,Afghanistan,F,Education,Primary,... if she neglects the children,50.6,Very Low
60,60,Afghanistan,F,Education,Secondary,... if she neglects the children,44.4,Low
61,61,Afghanistan,F,Education,Higher,... if she refuses to have sex with him,10.8,Medium
62,62,Afghanistan,F,Education,No education,... if she refuses to have sex with him,34.2,Low
63,63,Afghanistan,F,Education,Primary,... if she refuses to have sex with him,35.9,Low
64,64,Afghanistan,F,Education,Secondary,... if she refuses to have sex with him,26.6,Low
65,65,Afghanistan,F,Employment,Employed for cash,... for at least one specific reason,80.2,Very Low
66,66,Afghanistan,F,Employment,Employed for kind,... for at least one specific reason,86.9,Very Low
67,67,Afghanistan,F,Employment,Unemployed,... for at least one specific reason,80.1,Very Low
68,68,Afghanistan,F,Employment,Employed for cash,... if she argues with him,57.8,Very Low
69,69,Afghanistan,F,Employment,Employed for kind,... if she argues with him,53.5,Very Low
70,70,Afghanistan,F,Employment,Unemployed,... if she argues with him,59.8,Very Low
71,71,Afghanistan,F,Employment,Employed for cash,... if she goes out without telling him,66.7,Very Low
72,72,Afghanistan,F,Employment,Employed for kind,... if she goes out without telling him,68.0,Very Low
73,73,Afghanistan,F,Employment,Unemployed,... if she goes out without telling him,67.0,Very Low
74,74,Afghanistan,F,Employment,Employed for cash,... if she neglects the children,48.1,Very Low
75,75,Afghanistan,F,Employment,Employed for kind,... if she neglects the children,49.3,Very Low
76,76,Afghanistan,F,Employment,Unemployed,... if she neglects the children,48.6,Very Low
77,77,Afghanistan,F,Employment,Employed for cash,... if she refuses to have sex with him,32.5,Low
78,78,Afghanistan,F,Employment,Employed for kind,... if she refuses to have sex with him,31.4,Low
79,79,Afghanistan,F,Employment,Unemployed,... if she refuses to have sex with him,33.7,Low
80,80,Afghanistan,F,Marital status,Married or living together,... for at least one specific reason,80.6,Very Low
81,81,Afghanistan,F,Marital status,Never married,... for at least one specific reason,7.56,High
82,82,Afghanistan,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,67.6,Very Low
83,83,Afghanistan,F,Marital status,Married or living together,... if she argues with him,59.5,Very Low
84,84,Afghanistan,F,Marital status,Never married,... if she argues with him,8.82,High
85,85,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she argues with him,51.5,Very Low
86,86,Afghanistan,F,Marital status,Married or living together,... if she goes out without telling him,67.1,Very Low
87,87,Afghanistan,F,Marital status,Never married,... if she goes out without telling him,10.29,Medium
88,88,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,58.5,Very Low
89,89,Afghanistan,F,Marital status,Married or living together,... if she neglects the children,48.6,Very Low
90,90,Afghanistan,F,Marital status,Never married,... if she neglects the children,12.01,Medium
91,91,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,43.1,Low
92,92,Afghanistan,F,Marital status,Married or living together,... if she refuses to have sex with him,33.5,Low
93,93,Afghanistan,F,Marital status,Never married,... if she refuses to have sex with him,14.01,Medium
94,94,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,29.1,Low
95,95,Afghanistan,F,Residence,Rural,... for at least one specific reason,82.1,Very Low
96,96,Afghanistan,F,Residence,Urban,... for at least one specific reason,74.0,Very Low
97,97,Afghanistan,F,Residence,Rural,... if she argues with him,60.6,Very Low
98,98,Afghanistan,F,Residence,Urban,... if she argues with him,54.7,Very Low
99,99,Afghanistan,F,Residence,Rural,... if she goes out without telling him,69.3,Very Low
100,100,Afghanistan,F,Residence,Urban,... if she goes out without telling him,58.9,Very Low
101,101,Afghanistan,F,Residence,Rural,... if she neglects the children,48.9,Very Low
102,102,Afghanistan,F,Residence,Urban,... if she neglects the children,46.7,Very Low
103,103,Afghanistan,F,Residence,Rural,... if she refuses to have sex with him,35.2,Low
104,104,Afghanistan,F,Residence,Urban,... if she refuses to have sex with him,27.4,Low
105,105,Afghanistan,M,Age,15-24,... for at least one specific reason,74.1,Very Low
106,106,Afghanistan,M,Age,25-34,... for at least one specific reason,70.5,Very Low
107,107,Afghanistan,M,Age,35-49,... for at least one specific reason,73.6,Very Low
108,108,Afghanistan,M,Age,15-24,... if she argues with him,44.4,Low
109,109,Afghanistan,M,Age,25-34,... if she argues with him,44.6,Low
110,110,Afghanistan,M,Age,35-49,... if she argues with him,46.6,Very Low
111,111,Afghanistan,M,Age,15-24,... if she goes out without telling him,63.3,Very Low
112,112,Afghanistan,M,Age,25-34,... if she goes out without telling him,60.4,Very Low
113,113,Afghanistan,M,Age,35-49,... if she goes out without telling him,61.0,Very Low
114,114,Afghanistan,M,Age,15-24,... if she neglects the children,24.8,Medium
115,115,Afghanistan,M,Age,25-34,... if she neglects the children,27.0,Low
116,116,Afghanistan,M,Age,35-49,... if she neglects the children,25.7,Low
117,117,Afghanistan,M,Age,15-24,... if she refuses to have sex with him,21.3,Medium
118,118,Afghanistan,M,Age,25-34,... if she refuses to have sex with him,18.5,Medium
119,119,Afghanistan,M,Age,35-49,... if she refuses to have sex with him,20.1,Medium
120,120,Afghanistan,M,Education,Higher,... for at least one specific reason,55.5,Very Low
121,121,Afghanistan,M,Education,No education,... for at least one specific reason,77.4,Very Low
122,122,Afghanistan,M,Education,Primary,... for at least one specific reason,68.1,Very Low
123,123,Afghanistan,M,Education,Secondary,... for at least one specific reason,69.6,Very Low
124,124,Afghanistan,M,Education,Higher,... if she argues with him,31.4,Low
125,125,Afghanistan,M,Education,No education,... if she argues with him,50.2,Very Low
126,126,Afghanistan,M,Education,Primary,... if she argues with him,41.0,Low
127,127,Afghanistan,M,Education,Secondary,... if she argues with him,42.8,Low
128,128,Afghanistan,M,Education,Higher,... if she goes out without telling him,43.6,Low
129,129,Afghanistan,M,Education,No education,... if she goes out without telling him,66.0,Very Low
130,130,Afghanistan,M,Education,Primary,... if she goes out without telling him,55.9,Very Low
131,131,Afghanistan,M,Education,Secondary,... if she goes out without telling him,59.5,Very Low
132,132,Afghanistan,M,Education,Higher,... if she neglects the children,20.9,Medium
133,133,Afghanistan,M,Education,No education,... if she neglects the children,29.7,Low
134,134,Afghanistan,M,Education,Primary,... if she neglects the children,22.3,Medium
135,135,Afghanistan,M,Education,Secondary,... if she neglects the children,23.0,Medium
136,136,Afghanistan,M,Education,Higher,... if she refuses to have sex with him,11.9,Medium
137,137,Afghanistan,M,Education,No education,... if she refuses to have sex with him,23.2,Medium
138,138,Afghanistan,M,Education,Primary,... if she refuses to have sex with him,17.4,Medium
139,139,Afghanistan,M,Education,Secondary,... if she refuses to have sex with him,15.9,Medium
140,140,Afghanistan,M,Employment,Employed for cash,... for at least one specific reason,72.6,Very Low
141,141,Afghanistan,M,Employment,Employed for kind,... for at least one specific reason,73.5,Very Low
142,142,Afghanistan,M,Employment,Unemployed,... for at least one specific reason,67.4,Very Low
143,143,Afghanistan,M,Employment,Employed for cash,... if she argues with him,45.5,Very Low
144,144,Afghanistan,M,Employment,Employed for kind,... if she argues with him,47.8,Very Low
145,145,Afghanistan,M,Employment,Unemployed,... if she argues with him,41.1,Low
146,146,Afghanistan,M,Employment,Employed for cash,... if she goes out without telling him,60.9,Very Low
147,147,Afghanistan,M,Employment,Employed for kind,... if she goes out without telling him,65.7,Very Low
148,148,Afghanistan,M,Employment,Unemployed,... if she goes out without telling him,54.8,Very Low
149,149,Afghanistan,M,Employment,Employed for cash,... if she neglects the children,25.6,Low
150,150,Afghanistan,M,Employment,Employed for kind,... if she neglects the children,30.6,Low
151,151,Afghanistan,M,Employment,Unemployed,... if she neglects the children,31.8,Low
152,152,Afghanistan,M,Employment,Employed for cash,... if she refuses to have sex with him,18.9,Medium
153,153,Afghanistan,M,Employment,Employed for kind,... if she refuses to have sex with him,27.8,Low
154,154,Afghanistan,M,Employment,Unemployed,... if she refuses to have sex with him,17.0,Medium
155,155,Afghanistan,M,Marital status,Married or living together,... for at least one specific reason,72.6,Very Low
156,156,Afghanistan,M,Marital status,Never married,... for at least one specific reason,5.72,High
157,157,Afghanistan,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,48.8,Very Low
158,158,Afghanistan,M,Marital status,Married or living together,... if she argues with him,45.5,Very Low
159,159,Afghanistan,M,Marital status,Never married,... if she argues with him,6.67,High
160,160,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she argues with him,35.1,Low
161,161,Afghanistan,M,Marital status,Married or living together,... if she goes out without telling him,61.3,Very Low
162,162,Afghanistan,M,Marital status,Never married,... if she goes out without telling him,7.78,High
163,163,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,36.5,Low
164,164,Afghanistan,M,Marital status,Married or living together,... if she neglects the children,26.1,Low
165,165,Afghanistan,M,Marital status,Never married,... if she neglects the children,9.08,High
166,166,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,29.3,Low
167,167,Afghanistan,M,Marital status,Married or living together,... if she refuses to have sex with him,19.7,Medium
168,168,Afghanistan,M,Marital status,Never married,... if she refuses to have sex with him,10.59,Medium
169,169,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,5.0,
170,170,Afghanistan,M,Residence,Rural,... for at least one specific reason,76.1,Very Low
171,171,Afghanistan,M,Residence,Urban,... for at least one specific reason,59.9,Very Low
172,172,Afghanistan,M,Residence,Rural,... if she argues with him,47.0,Very Low
173,173,Afghanistan,M,Residence,Urban,... if she argues with him,40.4,Low
174,174,Afghanistan,M,Residence,Rural,... if she goes out without telling him,65.6,Very Low
175,175,Afghanistan,M,Residence,Urban,... if she goes out without telling him,46.0,Very Low
176,176,Afghanistan,M,Residence,Rural,... if she neglects the children,28.1,Low
177,177,Afghanistan,M,Residence,Urban,... if she neglects the children,19.6,Medium
178,178,Afghanistan,M,Residence,Rural,... if she refuses to have sex with him,21.9,Medium
179,179,Afghanistan,M,Residence,Urban,... if she refuses to have sex with him,12.0,Medium
180,180,Albania,F,Education,Higher,... if she burns the food,0.2,Very High
181,181,Albania,F,Residence,Urban,... if she burns the food,0.4,Very High
182,182,Albania,F,Age,15-24,... if she burns the food,0.6,Very High
183,183,Albania,F,Education,Secondary,... if she burns the food,0.6,Very High
184,184,Albania,F,Employment,Employed for cash,... if she burns the food,0.6,Very High
185,185,Albania,F,Marital status,Never married,... if she burns the food,0.6,Very High
186,186,Albania,F,Marital status,"Widowed, divorced, separated",... if she burns the food,0.6,Very High
187,187,Albania,F,Age,25-34,... if she burns the food,0.8,Very High
188,188,Albania,F,Employment,Unemployed,... if she burns the food,0.8,Very High
189,189,Albania,F,Marital status,Married or living together,... if she burns the food,0.9,Very High
190,190,Albania,F,Age,35-49,... if she burns the food,1.0,Very High
191,191,Albania,F,Education,Primary,... if she burns the food,1.3,Very High
192,192,Albania,F,Residence,Rural,... if she burns the food,1.4,Very High
193,193,Albania,F,Employment,Employed for kind,... if she burns the food,2.4,Very High
194,194,Albania,F,Education,No education,... if she burns the food,5.8,High
195,195,Albania,M,Education,No education,... if she burns the food,17.23,Medium
196,196,Albania,M,Age,25-34,... if she burns the food,0.2,Very High
197,197,Albania,M,Education,Secondary,... if she burns the food,0.2,Very High
198,198,Albania,M,Employment,Employed for cash,... if she burns the food,0.3,Very High
199,199,Albania,M,Age,35-49,... if she burns the food,0.4,Very High
200,200,Albania,M,Marital status,Never married,... if she burns the food,0.4,Very High
201,201,Albania,M,Employment,Employed for kind,... if she burns the food,0.5,Very High
202,202,Albania,M,Residence,Rural,... if she burns the food,0.5,Very High
203,203,Albania,M,Residence,Urban,... if she burns the food,0.5,Very High
204,204,Albania,M,Marital status,Married or living together,... if she burns the food,0.6,Very High
205,205,Albania,M,Education,Higher,... if she burns the food,0.8,Very High
206,206,Albania,M,Education,Primary,... if she burns the food,0.8,Very High
207,207,Albania,M,Employment,Unemployed,... if she burns the food,0.8,Very High
208,208,Albania,M,Age,15-24,... if she burns the food,0.9,Very High
209,209,Albania,M,Marital status,"Widowed, divorced, separated",... if she burns the food,1.6,Very High
210,210,Albania,F,Age,15-24,... for at least one specific reason,4.7,Very High
211,211,Albania,F,Age,25-34,... for at least one specific reason,6.9,High
212,212,Albania,F,Age,35-49,... for at least one specific reason,8.2,High
213,213,Albania,F,Age,15-24,... if she argues with him,1.0,Very High
214,214,Albania,F,Age,25-34,... if she argues with him,1.7,Very High
215,215,Albania,F,Age,35-49,... if she argues with him,2.4,Very High
216,216,Albania,F,Age,15-24,... if she goes out without telling him,2.0,Very High
217,217,Albania,F,Age,25-34,... if she goes out without telling him,3.7,Very High
218,218,Albania,F,Age,35-49,... if she goes out without telling him,4.8,Very High
219,219,Albania,F,Age,15-24,... if she neglects the children,3.5,Very High
220,220,Albania,F,Age,25-34,... if she neglects the children,5.4,High
221,221,Albania,F,Age,35-49,... if she neglects the children,6.3,High
222,222,Albania,F,Age,15-24,... if she refuses to have sex with him,0.6,Very High
223,223,Albania,F,Age,25-34,... if she refuses to have sex with him,1.1,Very High
224,224,Albania,F,Age,35-49,... if she refuses to have sex with him,1.0,Very High
225,225,Albania,F,Education,Higher,... for at least one specific reason,1.4,Very High
226,226,Albania,F,Education,No education,... for at least one specific reason,26.3,Low
227,227,Albania,F,Education,Primary,... for at least one specific reason,11.1,Medium
228,228,Albania,F,Education,Secondary,... for at least one specific reason,5.5,High
229,229,Albania,F,Education,Higher,... if she argues with him,0.4,Very High
230,230,Albania,F,Education,No education,... if she argues with him,11.7,Medium
231,231,Albania,F,Education,Primary,... if she argues with him,3.2,Very High
232,232,Albania,F,Education,Secondary,... if she argues with him,1.1,Very High
233,233,Albania,F,Education,Higher,... if she goes out without telling him,0.3,Very High
234,234,Albania,F,Education,No education,... if she goes out without telling him,14.9,Medium
235,235,Albania,F,Education,Primary,... if she goes out without telling him,6.9,High
236,236,Albania,F,Education,Secondary,... if she goes out without telling him,2.4,Very High
237,237,Albania,F,Education,Higher,... if she neglects the children,1.1,Very High
238,238,Albania,F,Education,No education,... if she neglects the children,21.1,Medium
239,239,Albania,F,Education,Primary,... if she neglects the children,8.6,High
240,240,Albania,F,Education,Secondary,... if she neglects the children,4.2,Very High
241,241,Albania,F,Education,Higher,... if she refuses to have sex with him,0.1,Very High
242,242,Albania,F,Education,No education,... if she refuses to have sex with him,6.3,High
243,243,Albania,F,Education,Primary,... if she refuses to have sex with him,1.5,Very High
244,244,Albania,F,Education,Secondary,... if she refuses to have sex with him,0.6,Very High
245,245,Albania,F,Employment,Employed for cash,... for at least one specific reason,4.1,Very High
246,246,Albania,F,Employment,Employed for kind,... for at least one specific reason,17.0,Medium
247,247,Albania,F,Employment,Unemployed,... for at least one specific reason,7.6,High
248,248,Albania,F,Employment,Employed for cash,... if she argues with him,1.2,Very High
249,249,Albania,F,Employment,Employed for kind,... if she argues with him,6.9,High
250,250,Albania,F,Employment,Unemployed,... if she argues with him,1.7,Very High
251,251,Albania,F,Employment,Employed for cash,... if she goes out without telling him,1.8,Very High
252,252,Albania,F,Employment,Employed for kind,... if she goes out without telling him,8.9,High
253,253,Albania,F,Employment,Unemployed,... if she goes out without telling him,4.4,Very High
254,254,Albania,F,Employment,Employed for cash,... if she neglects the children,3.2,Very High
255,255,Albania,F,Employment,Employed for kind,... if she neglects the children,13.6,Medium
256,256,Albania,F,Employment,Unemployed,... if she neglects the children,5.8,High
257,257,Albania,F,Employment,Employed for cash,... if she refuses to have sex with him,0.7,Very High
258,258,Albania,F,Employment,Employed for kind,... if she refuses to have sex with him,3.0,Very High
259,259,Albania,F,Employment,Unemployed,... if she refuses to have sex with him,0.8,Very High
260,260,Albania,F,Marital status,Married or living together,... for at least one specific reason,7.9,High
261,261,Albania,F,Marital status,Never married,... for at least one specific reason,4.3,Very High
262,262,Albania,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,7.0,High
263,263,Albania,F,Marital status,Married or living together,... if she argues with him,2.0,Very High
264,264,Albania,F,Marital status,Never married,... if she argues with him,1.1,Very High
265,265,Albania,F,Marital status,"Widowed, divorced, separated",... if she argues with him,3.4,Very High
266,266,Albania,F,Marital status,Married or living together,... if she goes out without telling him,4.6,Very High
267,267,Albania,F,Marital status,Never married,... if she goes out without telling him,1.7,Very High
268,268,Albania,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2.3,Very High
269,269,Albania,F,Marital status,Married or living together,... if she neglects the children,6.1,High
270,270,Albania,F,Marital status,Never married,... if she neglects the children,3.2,Very High
271,271,Albania,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,5.1,High
272,272,Albania,F,Marital status,Married or living together,... if she refuses to have sex with him,1.0,Very High
273,273,Albania,F,Marital status,Never married,... if she refuses to have sex with him,0.5,Very High
274,274,Albania,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,1.1,Very High
275,275,Albania,F,Residence,Rural,... for at least one specific reason,10.3,Medium
276,276,Albania,F,Residence,Urban,... for at least one specific reason,4.5,Very High
277,277,Albania,F,Residence,Rural,... if she argues with him,3.1,Very High
278,278,Albania,F,Residence,Urban,... if she argues with him,0.9,Very High
279,279,Albania,F,Residence,Rural,... if she goes out without telling him,5.7,High
280,280,Albania,F,Residence,Urban,... if she goes out without telling him,2.3,Very High
281,281,Albania,F,Residence,Rural,... if she neglects the children,7.7,High
282,282,Albania,F,Residence,Urban,... if she neglects the children,3.6,Very High
283,283,Albania,F,Residence,Rural,... if she refuses to have sex with him,1.6,Very High
284,284,Albania,F,Residence,Urban,... if she refuses to have sex with him,0.5,Very High
285,285,Albania,M,Age,15-24,... for at least one specific reason,10.9,Medium
286,286,Albania,M,Age,25-34,... for at least one specific reason,11.3,Medium
287,287,Albania,M,Age,35-49,... for at least one specific reason,11.8,Medium
288,288,Albania,M,Age,15-24,... if she argues with him,4.4,Very High
289,289,Albania,M,Age,25-34,... if she argues with him,3.5,Very High
290,290,Albania,M,Age,35-49,... if she argues with him,4.2,Very High
291,291,Albania,M,Age,15-24,... if she goes out without telling him,5.3,High
292,292,Albania,M,Age,25-34,... if she goes out without telling him,6.1,High
293,293,Albania,M,Age,35-49,... if she goes out without telling him,7.8,High
294,294,Albania,M,Age,15-24,... if she neglects the children,7.1,High
295,295,Albania,M,Age,25-34,... if she neglects the children,8.6,High
296,296,Albania,M,Age,35-49,... if she neglects the children,8.3,High
297,297,Albania,M,Age,15-24,... if she refuses to have sex with him,3.0,Very High
298,298,Albania,M,Age,25-34,... if she refuses to have sex with him,2.5,Very High
299,299,Albania,M,Age,35-49,... if she refuses to have sex with him,1.1,Very High
300,300,Albania,M,Education,Higher,... for at least one specific reason,5.4,High
301,301,Albania,M,Education,No education,... for at least one specific reason,26.6,Low
302,302,Albania,M,Education,Primary,... for at least one specific reason,14.6,Medium
303,303,Albania,M,Education,Secondary,... for at least one specific reason,11.2,Medium
304,304,Albania,M,Education,Higher,... if she argues with him,2.2,Very High
305,305,Albania,M,Education,No education,... if she argues with him,15.3,Medium
306,306,Albania,M,Education,Primary,... if she argues with him,5.9,High
307,307,Albania,M,Education,Secondary,... if she argues with him,3.2,Very High
308,308,Albania,M,Education,Higher,... if she goes out without telling him,2.7,Very High
309,309,Albania,M,Education,No education,... if she goes out without telling him,25.4,Low
310,310,Albania,M,Education,Primary,... if she goes out without telling him,9.0,High
311,311,Albania,M,Education,Secondary,... if she goes out without telling him,5.9,High
312,312,Albania,M,Education,Higher,... if she neglects the children,3.8,Very High
313,313,Albania,M,Education,No education,... if she neglects the children,22.3,Medium
314,314,Albania,M,Education,Primary,... if she neglects the children,9.6,High
315,315,Albania,M,Education,Secondary,... if she neglects the children,8.4,High
316,316,Albania,M,Education,Higher,... if she refuses to have sex with him,0.7,Very High
317,317,Albania,M,Education,No education,... if she refuses to have sex with him,13.8,Medium
318,318,Albania,M,Education,Primary,... if she refuses to have sex with him,3.1,Very High
319,319,Albania,M,Education,Secondary,... if she refuses to have sex with him,1.7,Very High
320,320,Albania,M,Employment,Employed for cash,... for at least one specific reason,10.8,Medium
321,321,Albania,M,Employment,Employed for kind,... for at least one specific reason,9.6,High
322,322,Albania,M,Employment,Unemployed,... for at least one specific reason,12.4,Medium
323,323,Albania,M,Employment,Employed for cash,... if she argues with him,3.4,Very High
324,324,Albania,M,Employment,Employed for kind,... if she argues with him,3.6,Very High
325,325,Albania,M,Employment,Unemployed,... if she argues with him,5.0,
326,326,Albania,M,Employment,Employed for cash,... if she goes out without telling him,7.2,High
327,327,Albania,M,Employment,Employed for kind,... if she goes out without telling him,6.2,High
328,328,Albania,M,Employment,Unemployed,... if she goes out without telling him,5.6,High
329,329,Albania,M,Employment,Employed for cash,... if she neglects the children,7.5,High
330,330,Albania,M,Employment,Employed for kind,... if she neglects the children,5.5,High
331,331,Albania,M,Employment,Unemployed,... if she neglects the children,9.1,High
332,332,Albania,M,Employment,Employed for cash,... if she refuses to have sex with him,1.3,Very High
333,333,Albania,M,Employment,Employed for kind,... if she refuses to have sex with him,0.9,Very High
334,334,Albania,M,Employment,Unemployed,... if she refuses to have sex with him,3.5,Very High
335,335,Albania,M,Marital status,Married or living together,... for at least one specific reason,11.7,Medium
336,336,Albania,M,Marital status,Never married,... for at least one specific reason,10.6,Medium
337,337,Albania,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,29.7,Low
338,338,Albania,M,Marital status,Married or living together,... if she argues with him,4.1,Very High
339,339,Albania,M,Marital status,Never married,... if she argues with him,3.8,Very High
340,340,Albania,M,Marital status,"Widowed, divorced, separated",... if she argues with him,13.1,Medium
341,341,Albania,M,Marital status,Married or living together,... if she goes out without telling him,7.7,High
342,342,Albania,M,Marital status,Never married,... if she goes out without telling him,5.1,High
343,343,Albania,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,16.7,Medium
344,344,Albania,M,Marital status,Married or living together,... if she neglects the children,8.5,High
345,345,Albania,M,Marital status,Never married,... if she neglects the children,7.2,High
346,346,Albania,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,24.5,Medium
347,347,Albania,M,Marital status,Married or living together,... if she refuses to have sex with him,1.3,Very High
348,348,Albania,M,Marital status,Never married,... if she refuses to have sex with him,2.8,Very High
349,349,Albania,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,4.6,Very High
350,350,Albania,M,Residence,Rural,... for at least one specific reason,12.9,Medium
351,351,Albania,M,Residence,Urban,... for at least one specific reason,10.2,Medium
352,352,Albania,M,Residence,Rural,... if she argues with him,3.2,Very High
353,353,Albania,M,Residence,Urban,... if she argues with him,4.7,Very High
354,354,Albania,M,Residence,Rural,... if she goes out without telling him,7.4,High
355,355,Albania,M,Residence,Urban,... if she goes out without telling him,5.9,High
356,356,Albania,M,Residence,Rural,... if she neglects the children,8.9,High
357,357,Albania,M,Residence,Urban,... if she neglects the children,7.4,High
358,358,Albania,M,Residence,Rural,... if she refuses to have sex with him,2.2,Very High
359,359,Albania,M,Residence,Urban,... if she refuses to have sex with him,2.0,Very High
360,360,Angola,F,Education,Higher,... if she burns the food,0.9,Very High
361,361,Angola,F,Education,Secondary,... if she burns the food,5.3,High
362,362,Angola,F,Residence,Urban,... if she burns the food,6.9,High
363,363,Angola,F,Employment,Unemployed,... if she burns the food,8.8,High
364,364,Angola,F,Marital status,Never married,... if she burns the food,9.8,High
365,365,Angola,F,Employment,Employed for cash,... if she burns the food,9.9,High
